county,MDI rate,Standard Error
1001,0.1407,0.0182
1003,0.0658,0.0104
1005,0.2488,0.0253
1007,0.2079,0.0236
1009,0.1159,0.0171
1011,0.2488,0.0253
1013,0.1320,0.0138
1015,0.3658,0.0282
1017,0.1542,0.0152
1019,0.1502,0.0159
1021,0.1542,0.0152
1023,0.1571,0.0171
1025,0.1571,0.0171
1027,0.1502,0.0159
1029,0.1502,0.0159
1031,0.1320,0.0138
1033,0.1289,0.0124
1035,0.1571,0.0171
1037,0.1542,0.0152
1039,0.1320,0.0138
1041,0.1320,0.0138
1043,0.1702,0.0185
1045,0.1620,0.0110
1047,0.2079,0.0236
1049,0.1882,0.0273
1051,0.1407,0.0182
1053,0.1571,0.0171
1055,0.3653,0.0265
1057,0.1566,0.0173
1059,0.1289,0.0124
1061,0.1620,0.0110
1063,0.2079,0.0236
1065,0.2079,0.0236
1067,0.1620,0.0110
1069,0.1620,0.0110
1071,0.1882,0.0273
1073,0.3093,0.0089
1075,0.1566,0.0173
1077,0.1289,0.0124
1079,0.1603,0.0226
1081,0.1251,0.0140
1083,0.0871,0.0158
1085,0.1407,0.0182
1087,0.2488,0.0253
1089,0.1954,0.0213
1091,0.2079,0.0236
1093,0.1495,0.0161
1095,0.1948,0.0207
1097,0.2078,0.0231
1099,0.1571,0.0171
1101,0.1753,0.0191
1103,0.1603,0.0226
1105,0.2079,0.0236
1107,0.1116,0.0187
1109,0.2488,0.0253
1111,0.1502,0.0159
1113,0.2488,0.0253
1115,0.1159,0.0171
1117,0.0691,0.0097
1119,0.2079,0.0236
1121,0.1502,0.0159
1123,0.1542,0.0152
1125,0.1402,0.0199
1127,0.1566,0.0173
1129,0.1571,0.0171
1131,0.1571,0.0171
1133,0.1702,0.0185
2013,0.2138,0.0159
2016,0.2138,0.0159
2020,0.1289,0.0292
2050,0.2138,0.0159
2060,0.2138,0.0159
2068,0.0815,0.0163
2070,0.2138,0.0159
2090,0.0815,0.0163
2100,0.0815,0.0163
2105,0.2138,0.0159
2110,0.0815,0.0163
2122,0.1018,0.0150
2130,0.0815,0.0163
2150,0.2138,0.0159
2158,0.2138,0.0159
2164,0.1018,0.0150
2170,0.2138,0.0159
2180,0.2138,0.0159
2185,0.2138,0.0159
2188,0.2138,0.0159
2195,0.2138,0.0159
2198,0.2138,0.0159
2220,0.0815,0.0163
2230,0.0815,0.0163
2240,0.0815,0.0163
2261,0.2138,0.0159
2275,0.2138,0.0159
2282,0.2138,0.0159
2290,0.2138,0.0159
4001,0.2800,0.0185
4003,0.1552,0.0197
4005,0.1563,0.0165
4007,0.1808,0.0229
4009,0.1808,0.0229
4011,0.1808,0.0229
4012,0.1773,0.0176
4013,0.1220,0.0028
4015,0.1773,0.0176
4017,0.2800,0.0185
4019,0.1542,0.0055
4021,0.1392,0.0224
4023,0.1552,0.0197
4025,0.1391,0.0168
4027,0.1861,0.0197
5001,0.2700,0.0295
5003,0.1704,0.0249
5005,0.1625,0.0168
5007,0.0819,0.0089
5009,0.1625,0.0168
5011,0.1704,0.0249
5013,0.1696,0.0215
5015,0.1625,0.0168
5017,0.1704,0.0249
5019,0.1292,0.0133
5021,0.1089,0.0128
5023,0.1757,0.0174
5025,0.1704,0.0249
5027,0.1696,0.0215
5029,0.1596,0.0185
5031,0.1384,0.0141
5033,0.1696,0.0225
5035,0.4013,0.0263
5037,0.4864,0.0275
5039,0.1696,0.0215
5041,0.1704,0.0249
5043,0.1704,0.0249
5045,0.1144,0.0151
5047,0.2376,0.0186
5049,0.1757,0.0174
5051,0.1292,0.0133
5053,0.3359,0.0325
5055,0.1089,0.0128
5057,0.3941,0.0205
5059,0.1292,0.0133
5061,0.2376,0.0186
5063,0.1757,0.0174
5065,0.1757,0.0174
5067,0.1568,0.0185
5069,0.3359,0.0325
5071,0.1596,0.0185
5073,0.3941,0.0205
5075,0.1089,0.0128
5077,0.4864,0.0275
5079,0.1704,0.0249
5081,0.3941,0.0205
5083,0.2376,0.0186
5085,0.1144,0.0151
5087,0.1625,0.0168
5089,0.1625,0.0168
5091,0.3941,0.0205
5093,0.4013,0.0263
5095,0.4864,0.0275
5097,0.1292,0.0133
5099,0.3941,0.0205
5101,0.1625,0.0168
5103,0.1696,0.0215
5105,0.1596,0.0185
5107,0.4864,0.0275
5109,0.3941,0.0205
5111,0.4864,0.0275
5113,0.2376,0.0186
5115,0.1596,0.0185
5117,0.1568,0.0185
5119,0.3083,0.0218
5121,0.1089,0.0128
5123,0.4864,0.0275
5125,0.0716,0.0135
5127,0.2376,0.0186
5129,0.1625,0.0168
5131,0.1696,0.0225
5133,0.2376,0.0186
5135,0.1757,0.0174
5137,0.1757,0.0174
5139,0.1696,0.0215
5141,0.1757,0.0174
5143,0.1116,0.0169
5145,0.1568,0.0185
5147,0.1568,0.0185
5149,0.1596,0.0185
6001,0.1134,0.0041
6003,0.1336,0.0157
6005,0.1336,0.0157
6007,0.1542,0.0194
6009,0.1336,0.0157
6011,0.2346,0.0271
6013,0.1016,0.0047
6015,0.1666,0.0198
6017,0.0555,0.0102
6019,0.4614,0.0096
6021,0.2346,0.0271
6023,0.2425,0.0291
6025,0.2483,0.0214
6027,0.1336,0.0157
6029,0.4686,0.0102
6031,0.2209,0.0228
6033,0.1600,0.0178
6035,0.1666,0.0198
6037,0.1968,0.0022
6039,0.5386,0.0295
6041,0.0974,0.0178
6043,0.1336,0.0157
6045,0.1600,0.0178
6047,0.2457,0.0258
6049,0.1666,0.0198
6051,0.1336,0.0157
6053,0.1675,0.0198
6055,0.0932,0.0165
6057,0.0951,0.0203
6059,0.1381,0.0039
6061,0.0785,0.0134
6063,0.1666,0.0198
6065,0.1502,0.0046
6067,0.1555,0.0056
6069,0.1642,0.0233
6071,0.1745,0.0046
6073,0.1429,0.0033
6075,0.1224,0.0059
6077,0.3841,0.0105
6079,0.0987,0.0176
6081,0.1006,0.0060
6083,0.1957,0.0242
6085,0.1034,0.0048
6087,0.1627,0.0251
6089,0.1695,0.0222
6091,0.0951,0.0203
6093,0.1666,0.0198
6095,0.1225,0.0176
6097,0.1171,0.0193
6099,0.1550,0.0228
6101,0.1581,0.0135
6103,0.2346,0.0271
6105,0.2346,0.0271
6107,0.2668,0.0309
6109,0.1336,0.0157
6111,0.1301,0.0075
6113,0.1864,0.0187
6115,0.1581,0.0135
8001,0.0884,0.0162
8003,0.2307,0.0230
8005,0.0849,0.0057
8007,0.0802,0.0098
8009,0.2307,0.0230
8011,0.0909,0.0133
8013,0.0656,0.0120
8014,0.1108,0.0217
8015,0.1026,0.0150
8017,0.0909,0.0133
8019,0.0547,0.0129
8021,0.2307,0.0230
8023,0.2307,0.0230
8025,0.0909,0.0133
8027,0.1026,0.0150
8029,0.1054,0.0154
8031,0.1175,0.0078
8033,0.0802,0.0098
8035,0.0295,0.0077
8037,0.0726,0.0210
8039,0.0801,0.0125
8041,0.0901,0.0073
8043,0.1026,0.0150
8045,0.0714,0.0127
8047,0.0547,0.0129
8049,0.0726,0.0210
8051,0.0802,0.0098
8053,0.0802,0.0098
8055,0.1026,0.0150
8057,0.0726,0.0210
8059,0.0801,0.0136
8061,0.0909,0.0133
8063,0.0909,0.0133
8065,0.1026,0.0150
8067,0.0802,0.0098
8069,0.0950,0.0161
8071,0.2307,0.0230
8073,0.0909,0.0133
8075,0.0909,0.0133
8077,0.1095,0.0159
8079,0.2307,0.0230
8081,0.0714,0.0127
8083,0.0802,0.0098
8085,0.1054,0.0154
8087,0.0909,0.0133
8089,0.2307,0.0230
8091,0.1054,0.0154
8093,0.1026,0.0150
8095,0.0909,0.0133
8097,0.0726,0.0210
8099,0.2307,0.0230
8101,0.2251,0.0226
8103,0.0714,0.0127
8105,0.2307,0.0230
8107,0.0714,0.0127
8109,0.2307,0.0230
8111,0.0802,0.0098
8113,0.1054,0.0154
8115,0.0909,0.0133
8117,0.0726,0.0210
8119,0.0460,0.0117
8121,0.0909,0.0133
8123,0.0770,0.0141
8125,0.0909,0.0133
9001,0.1174,0.0053
9003,0.1228,0.0059
9005,0.0699,0.0088
9007,0.0468,0.0060
9009,0.1292,0.0072
9011,0.0747,0.0116
9013,0.0709,0.0121
9015,0.0974,0.0137
10001,0.1213,0.0159
10003,X,X
10005,0.1309,0.0158
11001,0.2080,0.0089
12001,0.1506,0.0205
12003,0.0912,0.0132
12005,0.1536,0.0114
12007,0.1585,0.0154
12009,0.1106,0.0081
12011,0.1319,0.0055
12013,0.1692,0.0172
12015,0.1054,0.0136
12017,0.1169,0.0161
12019,0.0820,0.0133
12021,0.1186,0.0201
12023,0.1585,0.0154
12027,0.2046,0.0204
12029,0.1585,0.0154
12031,0.1343,0.0069
12033,0.1118,0.0171
12035,0.1033,0.0179
12037,0.1692,0.0172
12039,0.1692,0.0172
12041,0.1585,0.0154
12043,0.1787,0.0227
12045,0.1692,0.0172
12047,0.2001,0.0244
12049,0.2046,0.0204
12051,0.1787,0.0227
12053,0.1356,0.0140
12055,0.2018,0.0206
12057,0.1454,0.0059
12059,0.1536,0.0114
12061,0.1087,0.0172
12063,0.1692,0.0172
12065,0.1692,0.0172
12067,0.2001,0.0244
12069,0.1239,0.0182
12071,0.1188,0.0080
12073,0.1371,0.0166
12075,0.1585,0.0154
12077,0.1692,0.0172
12079,0.2001,0.0244
12081,0.0992,0.0179
12083,0.1589,0.0242
12085,0.1161,0.0186
12086,0.1780,0.0045
12087,0.1240,0.0193
12089,0.0912,0.0132
12091,0.0778,0.0105
12093,0.1787,0.0227
12095,0.1493,0.0078
12097,0.1319,0.0212
12099,0.1326,0.0049
12101,0.1337,0.0165
12103,0.1133,0.0051
12105,0.1448,0.0074
12107,0.2045,0.0254
12109,0.1873,0.0242
12111,0.1550,0.0239
12113,0.0739,0.0146
12115,0.0960,0.0143
12117,0.0928,0.0166
12119,0.1113,0.0154
12121,0.2001,0.0244
12123,0.2001,0.0244
12125,0.1585,0.0154
12127,0.1432,0.0192
12129,0.1692,0.0172
12131,0.1536,0.0114
12133,0.1536,0.0114
13001,0.2088,0.0177
13003,0.2102,0.0207
13005,0.2102,0.0207
13007,0.1926,0.0199
13009,0.1864,0.0243
13011,0.1626,0.0161
13013,0.1018,0.0116
13015,0.1301,0.0191
13017,0.1816,0.0179
13019,0.1816,0.0179
13021,0.3971,0.0214
13023,0.1983,0.0171
13025,0.2102,0.0207
13027,0.1816,0.0179
13029,0.1713,0.0271
13031,0.1673,0.0187
13033,0.1993,0.0210
13035,0.1947,0.0253
13037,0.1926,0.0199
13039,0.1289,0.0160
13043,0.1983,0.0171
13045,0.1718,0.0234
13047,0.1261,0.0146
13049,0.2102,0.0207
13051,0.1331,0.0197
13053,0.3662,0.0206
13055,0.1261,0.0146
13057,0.0716,0.0171
13059,0.2076,0.0210
13061,0.1954,0.0211
13063,0.3857,0.0280
13065,0.2102,0.0207
13067,0.0841,0.0069
13069,0.2102,0.0207
13071,0.1719,0.0205
13073,0.0573,0.0123
13075,0.1816,0.0179
13077,0.1046,0.0162
13079,0.1864,0.0243
13081,0.1954,0.0211
13083,0.1261,0.0146
13085,0.1058,0.0150
13087,0.1926,0.0199
13089,0.1321,0.0077
13091,0.1983,0.0171
13093,0.1954,0.0211
13095,0.3696,0.0225
13097,0.1169,0.0211
13099,0.1926,0.0199
13101,0.2102,0.0207
13103,0.1673,0.0187
13105,0.1475,0.0188
13107,0.1983,0.0171
13109,0.2088,0.0177
13111,0.1424,0.0179
13113,0.0743,0.0178
13115,0.1689,0.0174
13117,0.0557,0.0083
13119,0.1626,0.0161
13121,0.2545,0.0066
13123,0.1424,0.0179
13125,0.1993,0.0210
13127,0.1289,0.0160
13129,0.1424,0.0179
13131,0.1926,0.0199
13133,0.1475,0.0188
13135,0.0872,0.0069
13137,0.1626,0.0161
13139,0.1386,0.0153
13141,0.1993,0.0210
13143,0.1689,0.0174
13145,0.1954,0.0211
13147,0.1626,0.0161
13149,0.2241,0.0287
13151,0.0885,0.0217
13153,0.1054,0.0166
13155,0.1816,0.0179
13157,0.1018,0.0116
13159,0.1343,0.0213
13161,0.2088,0.0177
13163,0.1993,0.0210
13165,0.1993,0.0210
13167,0.1983,0.0171
13169,0.1864,0.0243
13171,0.1947,0.0253
13173,0.2102,0.0207
13175,0.1983,0.0171
13177,0.3696,0.0225
13179,0.1713,0.0271
13181,0.1993,0.0210
13183,0.1713,0.0271
13185,0.2065,0.0220
13187,0.1058,0.0150
13189,0.1993,0.0210
13191,0.1289,0.0160
13193,0.1954,0.0211
13195,0.1475,0.0188
13197,0.1954,0.0211
13199,0.2241,0.0287
13201,0.1926,0.0199
13205,0.1926,0.0199
13207,0.1864,0.0243
13209,0.2088,0.0177
13211,0.1343,0.0213
13213,0.1424,0.0179
13215,0.3662,0.0206
13217,0.1255,0.0154
13219,0.1475,0.0188
13221,0.1475,0.0188
13223,0.0710,0.0150
13225,0.1864,0.0243
13227,0.1424,0.0179
13229,0.2102,0.0207
13231,0.1947,0.0253
13233,0.1689,0.0174
13235,0.1054,0.0166
13237,0.1864,0.0243
13239,0.1954,0.0211
13241,0.1058,0.0150
13243,0.1954,0.0211
13245,0.4249,0.0194
13247,0.1255,0.0154
13249,0.1954,0.0211
13251,0.1673,0.0187
13253,0.1926,0.0199
13255,0.1947,0.0253
13257,0.1626,0.0161
13259,0.1954,0.0211
13261,0.1954,0.0211
13263,0.1954,0.0211
13265,0.1993,0.0210
13267,0.2088,0.0177
13269,0.1954,0.0211
13271,0.2088,0.0177
13273,0.1926,0.0199
13275,0.1719,0.0205
13277,0.1816,0.0179
13279,0.2088,0.0177
13281,0.1058,0.0150
13283,0.1983,0.0171
13285,0.2241,0.0287
13287,0.1816,0.0179
13289,0.1864,0.0243
13291,0.1058,0.0150
13293,0.1947,0.0253
13295,0.1261,0.0146
13297,0.1343,0.0213
13299,0.2102,0.0207
13301,0.1993,0.0210
13303,0.1993,0.0210
13305,0.2088,0.0177
13307,0.1954,0.0211
13309,0.2088,0.0177
13311,0.1058,0.0150
13313,0.1825,0.0288
13315,0.1983,0.0171
13317,0.1993,0.0210
13319,0.1864,0.0243
13321,0.1719,0.0205
15001,0.1426,0.0156
15003,0.0868,0.0045
15005,0.1000,0.0140
15007,0.1000,0.0140
15009,0.1000,0.0140
16001,0.1058,0.0210
16003,0.1077,0.0157
16005,0.0783,0.0117
16007,0.0783,0.0117
16009,0.1222,0.0155
16011,0.0987,0.0162
16013,0.1346,0.0235
16015,0.1077,0.0157
16017,0.1222,0.0155
16019,0.0732,0.0154
16021,0.1222,0.0155
16023,0.1077,0.0157
16025,0.1346,0.0235
16027,0.1215,0.0237
16029,0.0783,0.0117
16031,0.0980,0.0209
16033,0.1077,0.0157
16035,0.1077,0.0157
16037,0.1077,0.0157
16039,0.1346,0.0235
16041,0.0783,0.0117
16043,0.1000,0.0164
16045,0.1073,0.0173
16047,0.1346,0.0235
16049,0.1077,0.0157
16051,0.1000,0.0164
16053,0.1346,0.0235
16055,0.1211,0.0156
16057,0.1222,0.0155
16059,0.1077,0.0157
16061,0.1077,0.0157
16063,0.1346,0.0235
16065,0.1000,0.0164
16067,0.1346,0.0235
16069,0.1077,0.0157
16071,0.0783,0.0117
16073,0.1295,0.0186
16075,0.1073,0.0173
16077,0.0783,0.0117
16079,0.1222,0.0155
16081,0.1000,0.0164
16083,0.0980,0.0209
16085,0.1077,0.0157
16087,0.1073,0.0173
17001,0.1469,0.0194
17003,0.1419,0.0149
17005,0.1021,0.0143
17007,0.0817,0.0154
17009,0.1469,0.0194
17011,0.0745,0.0103
17013,0.1121,0.0149
17015,0.1069,0.0130
17017,0.1121,0.0149
17019,0.1459,0.0157
17021,0.1003,0.0114
17023,0.1073,0.0130
17025,0.1073,0.0130
17027,0.1021,0.0143
17029,0.1758,0.0202
17031,0.3229,0.0031
17033,0.1073,0.0130
17035,0.1758,0.0202
17037,0.1374,0.0200
17039,0.1003,0.0114
17041,0.1758,0.0202
17043,0.0657,0.0040
17045,0.1758,0.0202
17047,0.1419,0.0149
17049,0.1021,0.0143
17051,0.1021,0.0143
17053,0.1529,0.0164
17055,0.1548,0.0129
17057,0.1030,0.0125
17059,0.1419,0.0149
17061,0.1121,0.0149
17063,0.0822,0.0225
17065,0.1419,0.0149
17067,0.1030,0.0125
17069,0.1419,0.0149
17071,0.1030,0.0125
17073,0.1030,0.0125
17075,0.1529,0.0164
17077,0.1548,0.0129
17079,0.1073,0.0130
17081,0.1274,0.0160
17083,0.1121,0.0149
17085,0.1069,0.0130
17087,0.1419,0.0149
17089,0.1123,0.0197
17091,0.1240,0.0162
17093,0.0822,0.0225
17095,0.0745,0.0103
17097,0.0868,0.0063
17099,0.0760,0.0118
17101,0.1073,0.0130
17103,0.1069,0.0130
17105,0.1529,0.0164
17107,0.1003,0.0114
17109,0.1030,0.0125
17111,0.0548,0.0114
17113,0.1093,0.0185
17115,0.1500,0.0195
17117,0.1121,0.0149
17119,0.1155,0.0171
17121,0.1274,0.0160
17123,0.0745,0.0103
17125,0.1469,0.0194
17127,0.1419,0.0149
17129,0.1003,0.0114
17131,0.1030,0.0125
17133,0.1274,0.0160
17135,0.1021,0.0143
17137,0.1121,0.0149
17139,0.1003,0.0114
17141,0.1560,0.0194
17143,0.1362,0.0141
17145,0.1548,0.0129
17147,0.1003,0.0114
17149,0.1469,0.0194
17151,0.1419,0.0149
17153,0.1419,0.0149
17155,0.0745,0.0103
17157,0.1274,0.0160
17159,0.1073,0.0130
17161,0.1170,0.0137
17163,0.3003,0.0246
17165,0.1419,0.0149
17167,0.1456,0.0179
17169,0.1469,0.0194
17171,0.1121,0.0149
17173,0.1003,0.0114
17175,0.0745,0.0103
17177,0.1560,0.0194
17179,0.0897,0.0133
17181,0.1419,0.0149
17183,0.1529,0.0164
17185,0.1419,0.0149
17187,0.1030,0.0125
17189,0.1274,0.0160
17191,0.1073,0.0130
17193,0.1419,0.0149
17195,0.1069,0.0130
17197,0.0675,0.0045
17199,0.1548,0.0129
17201,0.1173,0.0168
17203,0.0745,0.0103
18001,0.1305,0.0159
18003,0.1207,0.0164
18005,0.1265,0.0185
18007,0.1055,0.0158
18009,0.1089,0.0161
18011,0.0258,0.0053
18013,0.1195,0.0201
18015,0.1055,0.0158
18017,0.1270,0.0163
18019,0.2467,0.0181
18021,0.1008,0.0132
18023,0.1055,0.0158
18025,0.1144,0.0141
18027,0.1305,0.0168
18029,0.1381,0.0203
18031,0.1421,0.0237
18033,0.1327,0.0155
18035,0.1808,0.0215
18037,0.1144,0.0141
18039,0.1153,0.0138
18041,0.1407,0.0177
18043,0.0978,0.0137
18045,0.1008,0.0132
18047,0.1381,0.0203
18049,0.1162,0.0166
18051,0.0629,0.0101
18053,0.1421,0.0209
18055,0.1305,0.0168
18057,0.0240,0.0062
18059,0.0548,0.0113
18061,0.0978,0.0137
18063,0.0442,0.0102
18065,0.1089,0.0161
18067,0.1270,0.0163
18069,0.1305,0.0159
18071,0.1265,0.0185
18073,0.1162,0.0166
18075,0.1089,0.0161
18077,0.1421,0.0237
18079,0.1421,0.0237
18081,0.0674,0.0135
18083,0.1144,0.0141
18085,0.0872,0.0165
18087,0.1327,0.0155
18089,0.1599,0.0212
18091,0.1030,0.0182
18093,0.1305,0.0168
18095,0.1710,0.0179
18097,0.3398,0.0090
18099,0.0872,0.0165
18101,0.1305,0.0168
18103,0.1421,0.0209
18105,0.1980,0.0201
18107,0.1055,0.0158
18109,0.1195,0.0201
18111,0.1162,0.0166
18113,0.1327,0.0155
18115,0.1381,0.0203
18117,0.1305,0.0168
18119,0.1305,0.0168
18121,0.1008,0.0132
18123,0.1144,0.0141
18125,0.1144,0.0141
18127,0.1137,0.0210
18129,0.0629,0.0101
18131,0.1162,0.0166
18133,0.1195,0.0201
18135,0.1089,0.0161
18137,0.1381,0.0203
18139,0.1407,0.0177
18141,0.1427,0.0201
18143,0.1421,0.0237
18145,0.0548,0.0113
18147,0.1144,0.0141
18149,0.1162,0.0166
18151,0.1327,0.0155
18153,0.1008,0.0132
18155,0.1381,0.0203
18157,0.1098,0.0154
18159,0.1270,0.0163
18161,0.1407,0.0177
18163,0.1646,0.0206
18165,0.1008,0.0132
18167,0.1622,0.0185
18169,0.1421,0.0209
18171,0.1008,0.0132
18173,0.0629,0.0101
18175,0.0978,0.0137
18177,0.1407,0.0177
18179,0.1305,0.0159
18181,0.1055,0.0158
18183,0.1305,0.0159
19001,0.0794,0.0174
19003,0.0794,0.0174
19005,0.0555,0.0106
19007,0.0794,0.0174
19009,0.0794,0.0174
19011,0.1196,0.0177
